id,start year,start month,end year,end month,?province1,province2
1139738,1985,11,1992,12,西藏自治區,
1138738,1979,4,1981,12,貴州省,
1138738,1981,12,1983,5,貴州省,
1138738,1983,5,1988,3,貴州省,
1138738,1983,8,1988,8,貴州省,
1138738,1988,1,1998,1,貴州省,
1138738,1998,1,2003,1,貴州省,
1138738,1988,1,1998,1,貴州省,
1140277,1980,1,1988,2,,
1140277,1988,2,1991,9,,
1140277,1998,3,2003,3,,
1143905,2008,1,now,,河南省,
1146467,1978,7,1980,9,福建省,
1146467,1980,9,1987,7,福建省,
1146467,1987,7,1992,12,福建省,
1146467,1992,12,1995,4,福建省,
1146467,1995,4,2003,10,福建省,
1146467,2002,5,2005,6,福建省,
1146467,2005,3,2007,1,福建省,
1146467,2007,1,2007,6,福建省,
1146467,2007,1,2010,2,福建省,
1146467,2007,6,2010,2,福建省,
1146467,2010,2,2013,10,福建省,
1146467,2012,8,2013,10,福建省,
1146467,2013,10,now,,,
1139129,1982,8,1986,3,,
1139129,1986,3,1986,8,,
1139129,1986,8,1993,1,,
1139129,1993,1,1996,1,天津市,
1139129,1996,1,1997,4,,
1139129,1997,4,1998,9,,
1139129,1998,9,2001,2,,
1139129,2001,2,2003,3,,
1139129,2003,3,2008,12,,
1139129,2008,12,2012,6,浙江省,
1139129,2008,12,2013,11,浙江省,
1139129,2012,6,2013,9,浙江省,
1139129,2012,6,now,,浙江省,
1139129,2013,10,now,,浙江省,
1139129,2013,10,now,,浙江省,
1140281,1983,7,1993,4,上海市,
1169145,1983,7,1984,5,江西省,
1169145,1984,5,1987,10,江西省,
1169145,1987,10,1988,8,江西省,
1169145,1988,8,1988,9,江西省,
1169145,1988,9,1989,1,江西省,
1169145,1989,1,1993,7,江西省,
1169145,1993,9,1996,3,江西省,
1169145,1992,4,1994,2,江西省,
1169145,1996,3,2000,1,江西省,
1169145,2000,1,2002,12,江西省,
1169145,2002,12,2004,1,江西省,
1169145,2002,12,2004,3,江西省,
1169145,2003,6,2004,2,,
1169145,2004,1,2006,11,江西省,
1169145,2004,2,2006,11,江西省,
1169145,2006,11,2011,8,江西省,
1169145,2006,11,2006,12,江西省,
1169145,2006,12,2011,8,江西省,
1169145,2008,3,2013,3,,
1169145,2011,8,2014,10,江西省,
1169145,2014,10,now,,江西省,
1138858,1978,,1983,,,
1138858,1985,10,1993,2,上海市,
1138858,1993,,1998,,上海市,
1138858,1993,2,1997,9,上海市,
1138858,1997,4,1998,,上海市,
1138858,1997,9,2002,5,上海市,
1138858,2002,2,2003,2,上海市,
1142614,1994,,1997,,,
1142614,1990,1,1995,11,,
1142614,1998,,2004,,,
1142614,1995,11,1997,4,,
1142614,1997,4,1999,3,,
1142614,1999,3,2006,3,,
1142614,2004,3,2006,7,,
1142614,2006,7,2011,1,,
1142614,2011,1,now,,,
1142614,2012,5,now,,,
1142614,2012,11,now,,,
1139368,1973,4,1982,3,湖南省,
1139368,1982,3,1985,3,湖南省,
1139368,1983,6,1985,3,湖南省,
1139368,1985,3,1990,9,湖南省,
1139368,1990,9,1994,12,湖南省,
1139909,1989,3,1990,6,海南省,
1164434,2014,6,now,,,
1139609,1982,8,1987,7,貴州省,
1139609,1986,1,1987,1,貴州省,
1139609,1987,7,1991,9,貴州省,
1139609,1990,3,1991,9,貴州省,
1139609,1991,8,1995,7,貴州省,
1139609,1991,8,1998,1,貴州省,
1139609,1991,9,1993,10,貴州省,
1139609,1993,10,1995,7,貴州省,
1139609,1993,10,1995,7,貴州省,
1139609,1995,7,1997,10,貴州省,
1139609,1997,10,1998,1,貴州省,
1139609,1998,1,2003,1,貴州省,
1139609,2003,1,2007,6,貴州省,
1139609,2002,4,now,,貴州省,
1139609,2004,8,now,,貴州省,
1139609,2007,6,now,,貴州省,
1139609,2012,1,now,,貴州省,
1153744,1978,,1983,,,
1153744,1983,,1988,,,
1153744,1988,,1990,,,
1153744,1990,,1991,,,
1153744,1991,,1992,,,
1153744,1992,,1995,,,
1153744,1995,,1996,,,
1153744,1996,,1998,,,
1153744,1998,,2004,,,
1153744,2004,,2005,,,
1153744,2005,,2007,,,
1153744,2007,,2011,,,
1153744,2011,11,2014,6,廣西壯族自治區|廣西自治區,
1153744,2011,11,2014,4,,
1143148,1978,3,1983,6,,
1138612,1979,12,1986,4,,
1138612,1986,4,1992,1,,
1138612,1992,1,1993,4,,
1138612,1993,4,1994,3,,
1138612,1994,3,1997,2,,
1138612,1997,2,2002,3,,
1138612,2002,3,2003,1,,
1138881,1972,5,1982,11,,
1138881,1982,11,1983,10,,
1138881,1983,10,1984,9,,
1138881,1986,8,1990,5,北京市,
1138881,1990,5,1991,1,北京市,
1138881,1991,1,1993,4,北京市,
1138881,1993,4,1995,3,北京市,
1138881,1995,3,1996,4,北京市,
1138881,1996,4,1996,9,北京市,
1138881,1996,9,2000,8,北京市,
1138881,2000,8,2001,3,北京市,
1138881,2002,11,2007,10,,
1138881,2005,12,2007,4,,
1138881,2007,4,now,,,
1138881,2013,3,now,,,
1141148,1978,8,1985,1,,
1141148,1985,1,1987,3,,
1141148,1987,3,1988,5,,
1141148,1988,5,1990,11,,
1141148,1990,11,1994,3,,
1141148,1994,3,1998,7,,
