id,name_CHN,start date,end date,subject type,alma mater
1138738,龔賢永,1960 / 9,1964 / 9,人文科學,貴州大學中文系漢語言文學專業學習
1139219,龔谷成,1960 / 7,1963 / 9,軍事科學,第一工程兵技術學院
1139219,龔谷成,1983 / 9,1984 / 7,軍事科學,解放軍軍事學院
1139219,龔谷成,1983 / 9,1986 / 6,未知,廣西民族學校函授
1139219,龔谷成,1999 / 5,1999 / 7,未知,國防大學進修系
1143905,龔立群,1995 / 4,1995 / 6,,中國人民大學培訓班學習
1146467,龔清概,1985 / 9,1987 / 7,,泉州市委黨校脫產學習
1146467,龔清概,2000 / 8,2002 / 12,,中央黨校大學學歷
1146467,龔清概,,,,"香港公開大學高級工商管理碩士研修班,工商管理碩士"
1139129,龔正,1978 / 10,1982 / 8,經濟與管理,對外經濟貿易大學(原北京對外貿易學院)海關管理系學習
1139129,龔正,1987 / 1,1987 / 12,社會科學與法律,考取國家教育委員會出國訪問學者，赴美國金門大學進修公共管理專業
1139129,龔正,1994 / 6,1997 / 7,經濟與管理,對外經濟貿易大學工商管理學院工商管理專業，獲工商管理碩士學位
1139129,龔正,2000 / 3,2001 / 1,未知,中央黨校一年制中青年幹部培訊班學習
1139129,龔正,2001 / 9,2004 / 12,,廈門大學財政金融系財政學專業，獲經濟學博士學位
1139129,龔正,2004 / 9,2004 / 11,,中央黨校第36期省部級幹部進修一班學習
1140281,龔心瀚,,1964 / 7,社會科學與法律,復旦大學新聞系
1169145,龔建華,1979 / 9,1983 / 7,經濟與管理,江西財經學院（現江西財經大學）貿易經濟系學生
1169145,龔建華,2001 / 1,2003 / 12,未知,江西省委黨校研究生黨建專業學習
1169145,龔建華,2004 / 8,,未知,中組部美國斯坦福大學培訓
1169145,龔建華,2008 / 10,,未知,中組部第108期領導幹部經濟管理研究班〈新加坡及上海浦東幹部學院〉
1143927,龔建明,,,,大連鐵道學院學生
1138858,龔學平,1962,1968,社會科學與法律,復旦大學新聞系
1142614,龔克,1978 / 3,1981 / 1,自然科學,北京工業學院（現北京理工大學）學習
1142614,龔克,1982 / 2,1983 / 2,,廣州外國語學院出國集訓部學習
1142614,龔克,1983 / 2,1986 / 12,自然科學,獲奧地利格拉茨技術大學電工電子系通訊與電波傳播專業博士學位
1142614,龔克,1987 / 9,1990 / 1,,清華大學電子系博士後研究
1142614,龔克,,2001,,獲選俄羅斯宇航科學院外籍院士
1143783,龔世萍,,,自然科學,北京鋼鐵學院金屬熱處理專業
1139368,龐道沐,1963 / 9,1968 / 9,人文科學,武漢大學哲學系哲學專業學習
1139609,龍超雲,1978 / 10,1982 / 8,人文科學,貴州大學中文系漢語語言文學專業學習
1139609,龍超雲,1995 / 9,1996 / 7,,中央黨校中青班學習
1139609,龍超雲,1995 / 9,1998 / 7,未知,中央黨校在職研究生班政治經濟學專業學習
1139609,龍超雲,2002 / 3,2002 / 5,,中央黨校省部級幹部進修班學習
1141786,龍莊偉,1974 / 9,1976,未知,湖北省恩施縣師範學校
1141786,龍莊偉,1978 / 10,1981,未知,湖北省恩施師範專科學校
1141786,龍莊偉,1983 / 9,1986,人文科學,河北師範學院中文系漢語史專業碩士研究生
1153744,龍義和,1973,1974,,廣州軍區通信訓練大隊
1153744,龍義和,1977,1978,,廣州軍區軍政幹部學校合成參謀訓練隊
1153744,龍義和,1979,1983,,廣西桂林電子工業學院無線電工程專業
1153744,龍義和,1994,1997,,桂林陸軍學院軍事指揮專業
1153744,龍義和,1998,1999,,南京陸軍指揮學院合成指揮專業
1153744,龍義和,2003,2004,,國防大學基本系聯合戰役指揮員班
1153744,龍義和,2001,2004,,軍事科學院戰役指揮專業
1138612,龍永圖,1961 / 8,1965 / 9,人文科學,貴州大學外語系
1138612,龍永圖,1973 / 5,1974 / 8,經濟與管理,英國倫敦經濟學院學習
1142460,龍書金,1934 / 7,,未知,中央黨校學習
1142460,龍書金,1959,1962,軍事科學,解放軍高等軍事學院基本系二期三班學習
1138881,龍新民,1964 / 9,1969 / 9,,北京師範大學中文系學習
1138881,龍新民,1984 / 9,1986 / 8,社會科學與法律,中央黨校培訓部研究生班學習
1141148,龍新南,1975 / 11,1978 / 8,人文科學,江西大學中文系漢語言文學專業學習
1141148,龍新南,1988 / 11,1989 / 6,,義大利的裏利斯特學院學習
1141148,龍新南,2002 / 3,2003 / 2,,中央黨校一年制中青年幹部培訓班學習
1141148,龍新南,2002 / 12,2005 / 12,,中國人民大學商學院高級管理人員工商管理(EMBA)專業碩士研究生班學習
1141148,龍新南,2003 / 3,2005 / 1,,中央黨校研究生院經濟學 <經濟管理>專業研究生班學習
1142226,龍忠志,1973 / 9,,,昆明醫學院醫療系學習
1142226,龍忠志,1996 / 9,1999 / 7,,中共中央黨校脫產學習1年，後繼續在職學習2年
1139974,龍志毅,,1953,,雲南大學法律系畢業
1144616,龍建安,1979 / 9,1984 / 7,,廣州中醫學院夜大中醫醫療專業大專班學習
1140181,龍庄偉,1974 / 9,1976 / 9,未知,湖北省恩施縣師範學校學習
1140181,龍庄偉,1978 / 10,1981 / 8,人文科學,湖北省恩施師範專科學校中文系學習
1140181,龍庄偉,1983 / 9,1986 / 6,人文科學,河北師範學院中文系漢語史專業碩士研究生學習
1139672,龍川,1947,,,循程中學
1139672,龍川,1949,,,廣西省柳州地區幹部學校
1140183,龍安定,,,人文科學,南京大學外語系英語專業學習
1143923,龍國鍵,1983 / 9,1984 / 9,人文科學,北京外语学院德语班培训
1172174,齊鳴秋,,,,中國人民大學經濟系
1172174,齊鳴秋,,,,哈爾濱工業大學 MBA專業學習
1143869,齊驥,1978 / 3,1984 / 10,軍事科學,哈爾濱建築工程學院
1143869,齊驥,1986 / 2,1986 / 10,未知,丹麥國際諮詢公司進修、工作
1143869,齊驥,1990 / 2,1991 / 2,未知,丹麥國際諮詢公司進修、工作
1140744,齊謀甲,1951,,自然科學,衛生部生物製品人員訓練班、北京大學伊學院生物化學進修班學習
1140744,齊謀甲,1954,1956,自然科學,蘇聯莫斯科製藥廠實習
1140051,齊續春,1964,1969,,北京大學數學力學系計算數學專業學習
1170544,齊玉,1979 / 9,1983 / 7,人文科學,西北政法學院哲學專業學習
1170544,齊玉,1986 / 9,1989 / 7,,中央黨校培訓部三年制研究生班
1141817,齊曉飛,,2010,,長江商學院
1140592,齊景發,,1969,,東北林業大學
1140076,齊懷遠,1948,,未知,華北人民大學學習
1140076,齊懷遠,,1950,人文科學,哈爾濱外國語專科學校學習
1141874,齊同生,,,自然科學,甘肅工業大學化工工機械專業學習
1143847,齊乃貴,1965 / 4,1970 / 1,,青島紡織工業學校學習
1143847,齊乃貴,1972 / 4,1974 / 8,自然科學,山東大學數學系學習
1142121,黑伯理,,1936,未知,山東聊城師範學習
1144555,黎曉宏,,,人文科學,中國人民大學中文專業
1144555,黎曉宏,,,自然科學,中南工業大學管理工程專業
1138657,黎明,1946,1949,未知,北平市立高級工業學校學習
1138657,黎明,1949,1951,未知,東北工業幹部學校學習
1138657,黎明,1953,1958,自然科學,鞍山鋼鐵學校夜校部軋鋼專業學習
1141505,黎原,1938 / 4,,未知,抗日軍政大學
1168005,黄蓉生,,1999,,畢業於吉林大學政治學理論專業，獲博士學位
1173153,黄玉治,,,自然科學,阜新礦業學院
1173153,黄玉治,2013 / 9,2014 / 1,未知,中央黨校中青年幹部培訓一班學習
1164034,黄樹賢,1975 / 9,1977 / 10,,南京大學文科班文哲史專業學習
1164034,黄樹賢,1992 / 10,1995 / 10,,南京大學商學院政治經濟學專業研究生課程進​​修班在職學習
1164034,黄樹賢,2006 / 3,2006 / 7,,中央黨校省部級幹部進修班學習
1164034,黄樹賢,2010 / 5,2010 / 7,,中央黨校省部級幹部進修班學習
1138727,黃龍雲,1981 / 7,1984 / 8,經濟與管理,廣州鋼鐵廠職工大學企業管理工程專業班脫產學習
1138727,黃龍雲,1990 / 9,1993 / 12,經濟與管理,在中山大學管理學院企業管理專業研究生班學習，獲經濟學碩士學位
1138727,黃龍雲,1994 / 9,1995 / 1,未知,在中央黨校進修二班學習
1138727,黃龍雲,2006 / 3,2006 / 7,,中央黨校省部級幹部進修班學習
1140789,黃齊陶,,1956,自然科學,蘇聯列寧格勒大學化學系
1140789,黃齊陶,1956,1957,自然科學,蘇聯門捷列夫化工學院物理化學系進修
1140144,黃麗滿,1964 / 8,1970 / 7,自然科學,哈爾濱軍事工程學院自動控制系自動控制專業學習
1142836,黃鵬,1940 / 9,1941 / 8,未知,晉察冀分局黨校學習
1142836,黃鵬,1944 / 9,,未知,中央黨校學習
1142836,黃鵬,1955 / 2,,未知,解放軍政治學院學習
1138741,黃高成,1978 / 2,1979 / 7,軍事科學,中國人民解放軍軍事學院學習
1138741,黃高成,1994 / 2,1995 / 2,軍事科學,國防大學基本系軍事指揮理論專業學習
1142728,黃靜波,1962,1965,,中央黨校普通班、高級研究班學習
1143191,黃雲龍,1981 / 7,1984 / 8,,廣州鋼鐵廠職工大學企業管理工程專業學習
1143191,黃雲龍,1990 / 9,1993 / 12,經濟與管理,中山大學管理學院企業管理專業研究生班學習，獲經濟學碩士學位
1143191,黃雲龍,1994 / 9,1995 / 1,,中央黨校進修二班學習
1143191,黃雲龍,2006 / 3,2006 / 7,,中央黨校省部級幹部進修班學習
1156082,黃雲橋 ,1961 / 2,1961 / 10,軍事科學,宣化炮兵學院速成系
1165976,黃關春,1978 / 3,1979 / 12,社會科學與法律,武漢市公安學校學習
1165976,黃關春,1982 / 10,1984 / 2,經濟與管理,湖北財經學院在職大專學習
1165976,黃關春,1995 / 9,1998 / 7,未知,湖北省委黨校在職研究生學習
1165976,黃關春,1998 / 9,2001 / 1,經濟與管理,武漢理工大學國際貿易學專業在職研究生學習
1165976,黃關春,2002 / 3,2003 / 1,未知,中央黨校中青班學習
1138211,黃鎮東,1960 / 9,1962,自然科學,南京航務工程專科學校數學物理專業學習
1138211,黃鎮東,1962,1963 / 5,自然科學,上海海運學院水運經濟專業學習
1138211,黃鎮東,1980 / 5,1980 / 8,自然科學,交通部幹部學校第一期計劃統計幹部輪訓班學習
1138211,黃鎮東,1980 / 9,1980 / 12,自然科學,日本神戶港進修
1138211,黃鎮東,1982 / 3,1982 / 7,社會科學與法律,河北省委黨校領導幹部輪訓班學習
1138211,黃鎮東,2001 / 3,2001 / 5,未知,中央黨校省部級幹部進修班學習
1141442,黃鎮,,1927,社會科學與法律,上海新華藝術大學學習
1141442,黃鎮,,,人文科學,早年入上海美術專科學校學習
1141440,黃選平,1984 / 9,1986 / 8,未知,甘肅省委黨校培訓部學習
1141440,黃選平,,1996 / 12,經濟與管理,蘭州大學自學考試經濟管理專業大學本科班
1141440,黃選平,1997 / 7,1999 / 7,經濟與管理,北京大學區域經濟專業研究課程班在職學習
1141440,黃選平,2004 / 4,2004 / 7,未知,中央黨校
1141440,黃選平,2004 / 7,2006 / 7,社會科學與法律,中央黨校導師制研究生班党的學說與黨的建設專業
1141440,黃選平,2006 / 3,,未知,中央黨校一年制中青班
1139019,黃遠志,1961 / 9,1967 / 12,自然科學,華中農學院植保系植保專業學習、研究生
1143189,黃達人,1962,1968,自然科學,浙江大學數學系本科生
1143189,黃達人,1978,1981,自然科學,浙江大學數學系研究生
1143189,黃達人,1985,1986,自然科學,美國南卡羅來納大學數學系訪問學者
1143234,黃道偉,1978,1982,,廣西民族學院政治系政治專業學習
1143234,黃道偉,1985,1988,,中央黨校函授學院培訓班政治理論專業學習
1168012,黃進,1978,1982,,湖北財經學院（現中南財經政法大學)法律專業學習並獲法學學士學位
1168012,黃進,1982,1988,,武漢大學國際法專業學習，先後獲法學碩士、法學博士學位
1138944,黃躍金,1972 / 3,1975 / 8,自然科學,同濟大學建材系學習
1138944,黃躍金,1993 / 10,1994,社會科學與法律,在中組部和建設部舉辦的市長研修班學習
1140577,黃衛,1978 / 9,,自然科學,南京工學院土木工程系道路工程專業學習
1140577,黃衛,1983 / 9,,自然科學,南京工學院土木工程系道路工程專業碩士研究生
1140577,黃衛,1991 / 9,1994 / 10,自然科學,東南大學交通運輸工程系公路與城市道路及機場工程專業博士研究生
1140577,黃衛,1993 / 5,1994 / 2,未知,美國加利福尼亞大學伯克利分校高級訪問學者
1140577,黃衛,1995 / 5,,自然科學,獲東南大學博士學位
1144233,黃蘭發,1978,1982,人文科學,華南師範學院中文系
1144233,黃蘭發,2000,2003,未知,中共中央黨校在職研究生班
1142759,黃葳,1929,,未知,蘇州振華女中學習
1142759,黃葳,1932,1936,自然科學,清華大學物理系學習
1142759,黃葳,1940 / 6,,未知,中央黨校學習
1142759,黃葳,1943 / 10,,未知,中央黨校學習
