id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1139738,龔達希,Gong Daxi,男,漢族,大學專科,否,,1936/8,,上海 崇明,,,,,,否,,
1138738,龔賢永,Gong Xianyong,男,漢族,大學本科,否,,1942/2,,重慶,,1964/9,,中國共產黨,1972/2,否,,
1139219,龔谷成,Gong Gucheng,男,漢族,大學專科,,,1940/12,,湖南 新化,中將,1960/7,,中國共產黨,1958/12,否,,
1144227,龔谷城,Gong Gucheng,男,漢族,,,,,,,中將,,,中國共產黨,,,,
1140277,龔育之,Gong Yuzhi,男,漢族,大學本科,否,,1929/12,,湖南 湘潭,研究員,,,中國共產黨,,否,,
1143905,龔立群,Xi Liqun,男,漢族,大學本科,,,1955/3,,黑龍江 哈爾濱,,1971/6,,,,,,無黨派
1146467,龔清概,Gong Qinggai,男,漢族,研究生,學位,其他,1958/6,,福建 石獅,,1980/09,,中國共產黨,1979/03,,,
1139129,龔正,Gong Zheng,男,漢族,研究生,訪問學者,美國,1960/3,,,其他專業頭銜,1982/8,,中國共產黨,1985/4,否,,海關副總監關銜
1140281,龔心瀚,Gong Xinhan,男,漢族,大學本科,否,,1940/10,,浙江 蕭山,,,,中國共產黨,,否,,
1169145,龔建華,Gong Jianhua,男,,研究生,,,1962/6,,江西 南昌,,1983/7,,中國共產黨,1984/10,,,
1143927,龔建明,Xi Jianming,男,漢族,大學本科,,,1956/12,,湖南 澧縣,,1974/12,,非中國共產黨,2001/7,,,中國農工民主黨(農工)黨員
1138858,龔學平,Gong Xueping,男,漢族,大學本科,,,1942/3,,江蘇 南京,其他專業頭銜,1967/9,,中國共產黨,1965/11,否,,高級編輯
1142614,龔克,Gong Ke,男,漢族,,學位,東歐,1955/6,,湖南 湘潭,教授,1970/6,,中國共產黨,1981/11,否,,
1143783,龔世萍,Gong Shiping,女,漢族,大學專科,,,1945/6,,廣東 番禺,,,,非中國共產黨,,否,,政黨：民革
1142240,龐金華,Pang Jinhua,男,漢族,,,,1955,,,,,,中國共產黨,,否,,
1139368,龐道沐,Pang Daomu,男,漢族,大學本科,否,,1942/10,,湖南 臨澧,,1968/12,,中國共產黨,1965/11,否,,
1139909,龐為強,Pang Weiqiang,男,漢族,,否,,1937/11,,廣西 博白,,1956,,中國共產黨,1959/1,否,,
1164434,龍飛,Long Fei,男,漢族,研究生,,,1969/8,,四川 廣安,工程師,1992/8,,中國共產黨,1991,,,
1142583,龍開富,Long Kaifu,男,漢族,,,,1908,1977/2,湖南 茶陵,少將,1927,,中國共產黨,1928,否,,
1139609,龍超雲,Long Chaoyun,女,其他種族,研究生,,,1952/8,,貴州 錦屏,,1968/11,,中國共產黨,1985/7,副局級以上,,侗族
1141786,龍莊偉,Long Zhuangwei,男,其他種族,研究生,,,1956/1,,湖北 恩施,教授,1971/2,,非中國共產黨,,否,,苗族民盟成員
1153744,龍義和,Long Yihe,男,漢族,研究生,,,1954/1,,湖南 湘陰,教授,1972/12,,中國共產黨,1974/6,否,,
