sender,receiver,elite id,year,month
Yunnan,Tibet,1144680,2010,10
Qinghai,Jilin,1170544,2013,5
Hubei,Jilin,1165976,2012,6
Beijing,Xinjiang,1140577,2010,12
Zhejiang,Tianjin,1138908,2003,11
Xinjiang,Gansu,1142904,1983,5
Anhui,Jiangxi,1138508,1987,7
Jiangxi,Ningxia,1138508,1989,12
Jiangxi,Guangdong,1148042,2004,5
Jiangxi,Heilongjiang,1142183,2007,12
Guizhou,Beijing,1143242,1991,4
Beijing,Guizhou,1143242,1992,6
Shanghai,Chongqing,1138928,2001,10
Fujian,Zhejiang,1143274,1999,8
Hubei,Guangdong,1140585,2011,6
Gansu,Jiangxi,1140573,2011,6
Liaoning,Shandong,1142153,1998,12
Anhui,Guangxi,1139274,1984,9
Henan,Shaanxi,1143272,1985,1
Liaoning,Xinjiang,1161447,2010,8
Xinjiang,Liaoning,1161447,2010,12
Jilin,Yunnan,1138490,1995,6
Anhui,Qinghai,1140028,2003,4
Qinghai,Jiangsu,1140160,2003,4
Hainan,Guangdong,1144159,2000,5
Shaanxi,Guangxi,1143947,2001,9
Shaanxi,Guangxi,1143947,2001,6
Shaanxi,Guangxi,1140149,2001,10
Sichuan,Chongqing,1140980,1997,4
Guizhou,Shanghai,1160278,2003,8
Shanghai,Guizhou,1160278,2005,3
Shandong,Fujian,1152097,1998,12
Ningxia,Hainan,1152911,2007,12
Sichuan,Chongqing,1140978,1997,2
Shandong,Gansu,1139257,2008,10
Sichuan,Gansu,1138514,1990,10
Gansu,Liaoning,1138514,1993,9
Inner Mongolia,Ningxia,1139843,1997,7
Guangdong,Hainan,1139510,1988,5
Sichuan,Gansu,1141081,2002,4
Gansu,Sichuan,1141081,2007,1
Jilin,Xinjiang,1141185,2004,7
Inner Mongolia,Shanxi,1138747,2001,7
Sichuan,Chongqing,1139175,1997,4
Chongqing,Guangxi,1139175,2003,9
Sichuan,Chongqing,1138830,1997,6
Shandong,Shanxi,1171563,2001,6
Tianjin,Liaoning,1141094,2009,5
Liaoning,Hebei,1141094,2014,8
Guangdong,Hainan,1139500,1988,4
Hubei,Ningxia,1144794,2011,6
Fujian,Guangxi,1139176,2001,6
Hebei,Jilin,1138278,1996,7
Hunan,Heilongjiang,1143223,2013,4
Liaoning,Heilongjiang,1143653,2014,12
Sichuan,Fujian,1143238,2006,8
Zhejiang,Guizhou,1138904,2012,12
Guangdong,Hainan,1141130,1987,10
Guangdong,Hainan,1146642,1987,12
Jiangxi,Jiangsu,1138917,1980,11
Jiangsu,Shaanxi,1138917,2002,5
Shandong,Ningxia,1138214,2002,3
Hunan,Jiangxi,1144557,1999,8
Shaanxi,Chongqing,1142127,2007,4
Inner Mongolia,Tibet,1138256,1992,1
Tibet,Henan,1138256,2000,9
Guangdong,Chongqing,1156219,2005,5
Chongqing,Guangdong,1156219,2008,9
Henan,Hebei,1139251,2009,11
Hebei,Tibet,1139251,2011,8
Gansu,Fujian,1138521,1986,3
Sichuan,Chongqing,1139584,1996,9
Fujian,Jilin,1144764,2011,2
Guizhou,Tibet,1170949,1988,6
Jilin,Shanxi,1142858,1979,4
Sichuan,Chongqing,1164756,1995,12
Shanghai,Beijing,1164756,2012,9
Hunan,Chongqing,1169349,2010,12
Hubei,Guizhou,1138210,1998,12
Guizhou,Heilongjiang,1138210,2005,12
Qinghai,Anhui,1159408,2010,12
Xinjiang,Shandong,1141149,1995,6
Shandong,Xinjiang,1141149,1996,12
Guangdong,Jiangxi,1139566,1992,10
Anhui,Jiangxi,1169184,2013,8
Sichuan,Chongqing,1143687,1997,12
Shaanxi,Jiangsu,1138261,1994,8
Anhui,Hubei,1141016,1998,12
Jiangsu,Hainan,1138486,1990,7
Fujian,Guangxi,1150864,2014,1
Beijing,Tibet,1144116,2005,6
Shandong,Anhui,1168684,2014,8
Jilin,Henan,1139946,2011,4
Sichuan,Tibet,1138216,1993,11
Anhui,Beijing,1138216,2007,11
Jiangsu,Guangdong,1171355,2003,6
Guangdong,Jiangsu,1171355,2005,6
Jiangsu,Beijing,1171355,2008,4
Hebei,Henan,1138997,2008,3
Gansu,Tibet,1141111,2003,11
Tibet,Qinghai,1141111,2013,3
Chongqing,Yunnan,1143211,2007,11
Guangdong,Hainan,1143959,1988,4
Sichuan,Chongqing,1140975,1997,6
Guizhou,Yunnan,1143547,2011,11
Guangxi,Guangdong,1141177,2005,6
Yunnan,Liaoning,1144265,2011,8
Anhui,Hebei,1144642,2005,3
Hebei,Xinjiang,1144642,2010,6
Shanxi,Inner Mongolia,1140956,1980,7
Guizhou,Hainan,1143961,1988,6
Anhui,Shaanxi,1139080,2001,6
Shandong,Anhui,1140502,1998,12
Qinghai,Shaanxi,1138213,2007,3
Hebei,Tibet,1143976,1992,12
Tibet,Hebei,1143976,1993,11
Hebei,Tibet,1143976,1998,10
Sichuan,Jiangxi,1143404,2013,7
Hubei,Guangxi,1138503,1990,10
Sichuan,Chongqing,1139588,1997,6
Sichuan,Chongqing,1139588,1997,4
Shandong,Jiangsu,1139381,2006,3
Jiangsu,Guizhou,1139381,2010,8
Shaanxi,Hebei,1138768,1994,8
Qinghai,Fujian,1139628,2000,2
Shanxi,Fujian,1138149,1985,5
Fujian,Beijing,1138149,1996,10
Gansu,Hubei,1138504,1992,12
Fujian,Chongqing,1138153,1999,6
Fujian,Beijing,1144372,1997,8
Sichuan,Chongqing,1142385,1997,3
Sichuan,Hainan,1144294,2009,3
Hubei,Hunan,1140552,1995,9
Sichuan,Chongqing,1139583,1996,9
Hunan,Guangdong,1143427,1993,1
Guangdong,Hainan,1138564,1988,2
Guangdong,Hainan,1143250,1988,6
Shaanxi,Shanxi,1138672,2010,5
Zhejiang,Fujian,1141165,1999,8
Fujian,Zhejiang,1141165,2014,1
Ningxia,Zhejiang,1143391,2014,8
Jilin,Qinghai,1138202,2001,10
Qinghai,Gansu,1138202,2003,8
Gansu,Jiangxi,1138202,2007,11
Shanghai,Hainan,1143283,1999,6
Hainan,Ningxia,1143283,2002,9
Shanghai,Hainan,1143142,2006,11
Hainan,Shanghai,1143142,2014,1
Guangdong,Hainan,1142263,1988,7
Tibet,Tianjin,1139926,2001,8
Shandong,Qinghai,1139732,1994,6
Gansu,Xinjiang,1140715,1986,6
Zhejiang,Sichuan,1138710,2002,3
Hainan,Jiangsu,1138919,2014,12
Ningxia,Qinghai,1139725,1990,10
Fujian,Zhejiang,1144552,1999,5
Shanxi,Hainan,1160975,2003,8
Liaoning,Heilongjiang,1143228,1998,12
Henan,Shaanxi,1139078,2001,10
Yunnan,Liaoning,1144160,2003,1
Jiangxi,Shanghai,1138900,2008,6
Jiangxi,Hebei,1170141,2013,7
Henan,Beijing,1143263,2010,10
Guizhou,Tibet,1141758,1988,6
Shanghai,Zhejiang,1138522,1992,9
Beijing,Ningxia,1140216,1985,8
Ningxia,Beijing,1140216,1987,6
Inner Mongolia,Jiangxi,1141869,2010,4
Shanxi,Beijing,1141656,1983,7
Hebei,Jilin,1143259,1998,12
Hubei,Sichuan,1144947,2013,5
Chongqing,Hebei,1140092,2013,7
Anhui,Guangxi,1159272,2008,10
Guangxi,Xinjiang,1159272,2012,7
Jilin,Hebei,1141153,1998,12
Guizhou,Tibet,1138146,1988,12
Henan,Shanghai,1141301,1981,1
Anhui,Liaoning,1140961,1998,12
Hebei,Inner Mongolia,1138689,2009,11
Inner Mongolia,Guangdong,1138689,2012,12
Tibet,Hunan,1139028,1981,2
Jiangsu,Fujian,1141299,1982,7
Guizhou,Fujian,1160239,1996,5
Fujian,Guizhou,1160239,1996,9
Sichuan,Chongqing,1143685,1996,3
Guangdong,Hainan,1144704,1988,7
Tibet,Tianjin,1143255,2001,7
Sichuan,Chongqing,1140977,1997,6
Chongqing,Xinjiang,1140977,2005,3
Sichuan,Yunnan,1139966,1987,9
Sichuan,Yunnan,1139966,1987,11
Yunnan,Sichuan,1139966,1990,7
Hebei,Fujian,1138227,1985,6
